step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.0002564925024122629,-0.00013053632664816023,0.41386428799385755,0.041386428799385755,0.011880653383719289,0.10899841000546424,0.035660668770776005,0.051401032442506066,0.09108837467658959,0.13795476266461917,0.165278150478161,0.2330569621376486,40000,64000,72000,2.2009237646023108,832.3523471863231,428.9443519336394,114.84550680511656,114.84550680511656,0.0003,0.764245958935092,0,0
4,1e-06,80000,10,31.41592653589793,31.41592653589793,0.00025392618635033547,-0.00014033275587500293,0.4081866260834516,0.04081866260834516,0.011547715619657077,0.10746029787627186,0.034536202152272794,0.04995965814162205,0.0889785749618118,0.13606220869448385,0.16355153709071268,0.23237666240781663,40000,64000,72000,2.1798503252191463,889.4303396039347,428.35624428436074,117.22348489987233,117.22348489987233,0.0003375,0.7669853831799109,0,0
8,2e-06,80000,10,31.41592653589793,31.41592653589793,0.00024753501544615147,-0.00015552499212096956,0.402382212816606,0.0402382212816606,0.011220979196210689,0.10592912345625582,0.03351206056322612,0.04853759997299983,0.08702064553818736,0.13412740427220202,0.1617666260097599,0.23150940367405534,40000,64000,72000,2.1626364875588777,951.4735100978986,429.6028954092648,119.72529546729592,119.72529546729592,0.000475,0.7704972466328247,0,0
12,3e-06,80000,10,31.41592653589793,31.41592653589793,0.00024563928249881343,-0.00016479613295977157,0.39653564523324436,0.039653564523324435,0.010897505506677544,0.1043911179491701,0.03240820693755899,0.047077233964498214,0.08500811025765703,0.13217854841108145,0.15992977883045756,0.23080421801170792,40000,64000,72000,2.143769703418587,1017.754282980157,429.32652686935575,122.36537660260758,122.36537660260758,0.0006125,0.7775653934416676,0,0
16,4e-06,80000,10,31.41592653589793,31.41592653589793,0.0002520468527562056,-0.0001797859521893172,0.39083102081260407,0.03908310208126041,0.010579858506033447,0.10285843915806543,0.03139524994705857,0.0457052363898122,0.08301052602829659,0.1302770069375347,0.15820529309561732,0.2298435447516624,40000,64000,72000,2.12394926727422,1087.4745776441061,429.57956794865623,125.1280459547891,125.1280459547891,0.0007375,0.7799598548362366,0,0
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,0.00024879109264577896,-0.00019315326605761794,0.3848760654268063,0.03848760654268063,0.010267511628721382,0.10132873051963782,0.030406763991641165,0.044364576800365735,0.08095199943594944,0.12829202180893542,0.15629639199751907,0.22888406998520555,40000,64000,72000,2.103326413560639,1162.9648762775369,428.94198931006133,128.03584491469113,128.03584491469113,0.000825,0.7823115829368119,0,0
24,6e-06,80000,10,31.41592653589793,31.41592653589793,0.00024655547412105175,-0.00020809044616457287,0.3787061425880033,0.037870614258800325,0.009961303823507647,0.0998063315802542,0.02944045111070711,0.043044725857154784,0.07895296973242702,0.12623538086266775,0.15449734725144387,0.22803666742391587,40000,64000,72000,2.0848082683021185,1243.5901300476455,428.047288733281,131.089831506038,131.089831506038,0.0009875,0.7862795824747306,0,0
28,7e-06,80000,10,31.41592653589793,31.41592653589793,0.00024262157240326318,-0.00021291516270013748,0.3727010732248191,0.03727010732248191,0.009660499688633112,0.09828784100097586,0.02855155413391272,0.041797163266738054,0.0769949960691162,0.1242336910749397,0.15259375715605364,0.22723467632820094,40000,64000,72000,2.065864619141346,1332.0606602434518,427.45546006315413,134.30664259978857,134.30664259978857,0.0011875,0.788842375484298,0,0
32,8e-06,80000,10,31.41592653589793,31.41592653589793,0.0002391280507663913,-0.00023043903410423938,0.3663916806230872,0.03663916806230872,0.009366003922621642,0.09677811696154065,0.027665564507102884,0.0405418406767599,0.07512013004545456,0.12213056020769573,0.1508657886310853,0.22641116220332055,40000,64000,72000,2.0502684427142275,1423.1359229723014,426.96283490902715,137.64543338208202,137.64543338208202,0.001425,0.7911021876799624,0,0
36,9e-06,80000,10,31.41592653589793,31.41592653589793,0.00023638437793842783,-0.00023351283133662759,0.3603796002843006,0.03603796002843006,0.009078811714690955,0.09528279862961077,0.02682146622772283,0.03935051564628484,0.07316354401027161,0.1201265334281002,0.14887021325174823,0.22578104982284491,40000,64000,72000,2.030179953375648,1520.332489998428,428.03711456873975,141.13799973021298,141.13799973021298,0.0018,0.7970710965672116,0,0
40,9.999999999999999e-06,80000,10,31.41592653589793,31.41592653589793,0.00023477003399562557,-0.00023807623702832217,0.354016282579035,0.0354016282579035,0.008795080764792622,0.09378209191947375,0.02594654332301067,0.03816408644088633,0.07119622676268014,0.118005427526345,0.14707730853419348,0.2246894307516294,40000,64000,72000,2.011100343860184,1625.206256416813,431.1492235340563,144.82934690036217,144.82934690036217,0.0022,0.8020405027207785,0,0
44,1.1e-05,80000,10,31.41592653589793,31.41592653589793,0.0002248987929755422,-0.00024382035930942806,0.3479706045141735,0.03479706045141735,0.008517938052274764,0.09229267604894098,0.02521425061441089,0.03701966238359435,0.06928838688248035,0.1159902015047245,0.1451590294760539,0.2236385477377162,40000,64000,72000,1.9912137974763353,1737.1574100227979,432.288220337092,148.6800242664406,148.6800242664406,0.0026875,0.809718726422003,0,0
48,1.2e-05,80000,10,31.41592653589793,31.41592653589793,0.00022850060025747016,-0.00025359524295059244,0.3417358393819146,0.03417358393819146,0.008247311236236418,0.09081470825938064,0.02444578322233741,0.035907909195047466,0.06741839919911308,0.1139119464606382,0.14323747385129276,0.22278167109421726,40000,64000,72000,1.9728220288820255,1856.4390517315562,434.93585039533315,152.69046357266046,152.69046357266046,0.0033125,0.8184253429973676,0,0
52,1.3e-05,80000,10,31.41592653589793,31.41592653589793,0.00022899080494278754,-0.00026440558959388717,0.33556436604162754,0.03355643660416276,0.007984392513295897,0.08935542800130218,0.023767683180127546,0.0347659737645684,0.06553193880587788,0.11185478868054252,0.1412785418332881,0.2219764465418281,40000,64000,72000,1.9528872978648895,1987.2493376450839,435.69171469718924,156.90605418907572,156.90605418907572,0.0042125,0.8223237896063981,0,0
56,1.4e-05,80000,10,31.41592653589793,31.41592653589793,0.0002297584762546365,-0.00027873924583560677,0.3293813986552582,0.032938139865525816,0.007725352868291365,0.08789398653088483,0.022961262971886515,0.03376158730876845,0.06369250280938205,0.10979379955175272,0.13929429929282428,0.22077873676885992,40000,64000,72000,1.9337006603716804,2127.2917481716395,436.9183540891517,161.33947293195308,161.33947293195308,0.00515,0.8213506309078034,0,0
60,1.4999999999999999e-05,80000,10,31.41592653589793,31.41631923497963,0.00023835518628564573,-0.00028489423055191203,0.3230446356463842,0.03230446356463842,0.007473251677030516,0.08644797092488936,0.022223195798048604,0.032770192761500214,0.06188264178967622,0.10768154521546139,0.13737770754992618,0.2197130300961635,40000,64000,72000,1.9156065435308791,2273.312301790872,438.157460252698,165.96755881742948,165.96755881742948,0.0059999250009374885,0.8252105262314194,0,0
64,1.6e-05,80000,10,31.41592653589793,31.41631923497963,0.00024590016034362945,-0.00029378920338653155,0.31688373439843,0.031688373439843,0.007226418081022655,0.0850083412438018,0.021600351280318498,0.03180161792336212,0.06010584892634728,0.10562791146614332,0.13546880628851302,0.21849560204532129,40000,64000,72000,1.8967792411450788,2430.5032143463955,439.61040903851784,170.80058434279005,170.80058434279005,0.0073124085948925634,0.8309644942698842,0,0
68,1.7e-05,80000,10,31.41592653589793,31.41631923497963,0.0002494337778316196,-0.00030334436533801184,0.3105796117861328,0.03105796117861328,0.006985345247016043,0.08357837786781963,0.020948654380584894,0.030801557023024454,0.058325805915345065,0.10352653726204428,0.13349528348053485,0.2175826182979217,40000,64000,72000,1.8779663474983221,2604.7136512940438,439.0389969944516,175.91338082872667,175.91338082872667,0.009012387345158185,0.840130245513997,0,0
72,1.8e-05,80000,10,31.41592653589793,31.41631923497963,0.00025402024023221773,-0.0003070707605792774,0.30435086796539995,0.030435086796539994,0.006749870655672069,0.08215759645749181,0.02036327146038348,0.029850819555116676,0.05660399519183455,0.10145028932179999,0.13137709690469623,0.21657961588163085,40000,64000,72000,1.8598269678097177,2789.9189480881887,440.4126501619846,181.22909139697916,181.22909139697916,0.010799865001687479,0.8465508465719075,0,0
76,1.8999999999999998e-05,80000,10,31.41592653589793,31.41592653589793,0.00025348805390672507,-0.0003122731977157902,0.2976938739380654,0.02976938739380654,0.006521255070645975,0.0807542882492687,0.01970776456122541,0.028915877638417402,0.05494357484597423,0.09923129131268847,0.12931934555171462,0.2156135010179709,40000,64000,72000,1.8456400905785897,2996.1060711743894,443.0436134448048,186.8766549516887,186.8766549516887,0.013025,0.8471855188347197,0,0
80,1.9999999999999998e-05,80000,10,31.41592653589793,31.41592653589793,0.0002516935464952953,-0.00032160725875434804,0.29158078178442615,0.029158078178442615,0.0062985261370045635,0.07936325432468457,0.0191281338779855,0.02796459583475321,0.05331735978441757,0.09719359392814206,0.12726890989496564,0.2149176724374566,40000,64000,72000,1.8285622069508198,3225.762048551875,444.47223111118655,192.8607597306759,192.8607597306759,0.0155875,0.8547483098898301,0,0
