step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.0002461144053557066,-0.00020763951576820277,0.41439197770453007,0.041439197770453004,0.011882306574904297,0.10900599329809484,0.035320200467519616,0.05142628341089237,0.09056928324290048,0.13813065923484336,0.1654953371152117,0.23669132961152062,40000,64000,72000,2.185594512340638,847.690488474699,426.35308400583705,115.17945949561457,115.17945949561457,0.0004125,0.8100371481092331,0,0
4,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00023583964577982328,-0.0002036405435522872,0.408000469293432,0.0408000469293432,0.01152045486726632,0.10733338188684041,0.03407409193259754,0.04983736729399202,0.0886571284457856,0.136000156431144,0.16356515234562277,0.23624379653755856,40000,64000,72000,2.172966335046635,912.0977187477055,426.0704697752141,117.86433950395407,117.86433950395407,0.0004875,0.8135077626171887,0,0
8,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.00023564662245721994,-0.00019435665409150182,0.4015848010648425,0.04015848010648425,0.011166952251068034,0.10567380115746776,0.03288973370487174,0.048382770641505514,0.08666444886267491,0.1338616003549475,0.16172717511604093,0.23519437719681824,40000,64000,72000,2.1580609782261533,977.8163968506884,427.0630021608975,120.73554183205651,120.73554183205651,0.00065,0.8209054978632088,0,0
12,3e-06,80000,10,31.41592653589793,31.41631923497963,-0.0002282386018344063,-0.00018321756973998688,0.3952063921406219,0.039520639214062195,0.010823953937245778,0.10403823305518879,0.031792735390499094,0.04686597185906649,0.08469510212521984,0.13173546404687397,0.15989564245603496,0.23421039323062182,40000,64000,72000,2.1430600265970323,1056.106092365862,427.23455563304213,123.79117481816252,123.79117481816252,0.0007499906251171861,0.8209668875372245,1,0
16,4e-06,80000,10,31.41592653589793,31.41631923497963,-0.00021525900201623896,-0.00017431397695520003,0.38875085500743745,0.03887508550074374,0.010493702083783132,0.10243877236565817,0.030709374431903073,0.04546475329539874,0.08272017352021241,0.12958361833581247,0.15795080243293108,0.2337552539080879,40000,64000,72000,2.1278454427741345,1138.577443995099,428.09555904454663,127.01425008860546,127.01425008860546,0.0009124885938925763,0.8217230368294414,0,0
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41631923497963,-0.0002014259383509682,-0.00016687516018539623,0.38224222739205804,0.0382242227392058,0.010172534780899894,0.10085898463151359,0.029682574742003937,0.044130395030263565,0.08069621002328414,0.12741407579735267,0.15624198688141164,0.23296707712318762,40000,64000,72000,2.111127558403318,1234.4356764295017,428.12472666566185,130.43352562351978,130.43352562351978,0.0011624854689316383,0.8241056097574669,0,0
24,6e-06,80000,10,31.41592653589793,31.41631923497963,-0.00018897761411745522,-0.00015788464272510782,0.3754065024295967,0.037540650242959675,0.009863703988338865,0.0993161819057643,0.028797614509704715,0.0429945756221074,0.07871822895385497,0.12513550080986557,0.1542388812897758,0.2318302416824348,40000,64000,72000,2.0968797408781614,1330.477796042539,428.372594531814,133.9667557654601,133.9667557654601,0.0012999837502031225,0.8274778826020421,0,0
28,7e-06,80000,10,31.41592653589793,31.41631923497963,-0.00017948292712193108,-0.00015262398795015572,0.3684456938183985,0.036844569381839845,0.009567133913570067,0.0978117268714241,0.027896381285273258,0.04189126095228808,0.0766019634692816,0.12281523127279949,0.15239801216333898,0.23135607234419436,40000,64000,72000,2.079057097273,1440.5802731261097,429.5310909692877,137.69687211921442,137.69687211921442,0.0016499793752578092,0.8313061951347622,0,0
32,8e-06,80000,10,31.41592653589793,31.41631923497963,-0.00016567223513071422,-0.00014342823176664428,0.3617135709676619,0.03617135709676619,0.009284208971710091,0.0963546001585295,0.02688517392904653,0.04086141267598654,0.0745416084656208,0.12057119032255396,0.1507084702608329,0.23038325686262112,40000,64000,72000,2.0607910360179718,1555.2612094554358,428.7619898349446,141.47256685191354,141.47256685191354,0.0021749728128398396,0.8361406197674393,0,0
36,9e-06,80000,10,31.41592653589793,31.41631923497963,-0.00014957306810303698,-0.00014294560525225544,0.3550774003329052,0.03550774003329052,0.009010513452590779,0.0949237243927501,0.02590431197771718,0.03984684668694106,0.07247687824683746,0.11835913344430173,0.1491096331524683,0.22963843946621465,40000,64000,72000,2.0411571724611672,1679.0523362942024,429.29921534804095,145.44811676153736,145.44811676153736,0.002724965937925776,0.83918593955885,0,0
