step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.0002461144053557066,-0.00020763951576820277,0.41439197770453007,0.041439197770453004,0.011882306574904297,0.10900599329809484,0.035320200467519616,0.05142628341089237,0.09056928324290048,0.13813065923484336,0.1654953371152117,0.23669132961152062,40000,64000,72000,2.185594512340638,847.690488474699,426.35308400583705,115.17945949561457,115.17945949561457,0.0004125,0.9012061610135349,0,0,0.9012061610135349,0.8100371481092331,2548.9959507990648,2291.131041764202,two_level_spectral_residual,nan,nan,116.10847073631665,115.03241135973379,1101.1730296354062,12.5,0.7571875,119.0738688117585,115.08299773174079,1589.626345188804,3.125,0.8112109375
4,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.0002382669880645921,-0.00020323643994353693,0.40806063051379143,0.04080606305137914,0.011535384847745524,0.10740290893521239,0.034235976737994174,0.04986172837271296,0.08852012906825635,0.1360202101712638,0.16366414877481605,0.23624914620915397,40000,64000,72000,2.1692886411708026,908.4117621469658,426.0679425218899,117.70293692726895,117.70293692726895,0.0004875,0.9048710146415722,0,0,0.9048710146415722,0.8135124845908969,2559.3617222088296,2300.9607777365595,two_level_spectral_residual,nan,nan,118.61848778281475,117.59132625736041,1110.60196232975,12.5,0.7571875,121.50938484435581,117.60453170913263,1578.6011897665871,3.125,0.813125
8,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.00024079855871052402,-0.00019223636637230108,0.40171545674357034,0.04017154567435703,0.011194168715425454,0.10580249862562535,0.033195307578835674,0.0483716650022919,0.08647686992268419,0.1339051522478568,0.16191342321790528,0.2351446603846915,40000,64000,72000,2.1526896331969008,971.3720460842032,427.0573685855735,120.36139365897976,120.36139365897976,0.00065,0.9157333557312598,0,0,0.9157333557312598,0.8207617897967325,2590.0850623851475,2321.464909216309,two_level_spectral_residual,nan,nan,121.2837394823092,120.28316169869507,1131.911620374686,12.5,0.75796875,124.145178935888,120.25697448546755,1627.993870601892,3.125,0.81375
12,3e-06,80000,10,31.41592653589793,31.41631923497963,-0.00023631355135227128,-0.00017894177757634541,0.3953329346875041,0.03953329346875041,0.010859985773761566,0.10421125550419957,0.03217110728244538,0.0468795576722394,0.08435348904631608,0.13177764489583468,0.16009035177107006,0.2344076952776868,40000,64000,72000,2.1337329032045953,1037.1035532361586,427.22733925173947,123.15965509511588,123.15965509511588,0.000737490781365233,0.9183809866837251,1,0,0.9183809866837251,0.8208528492862297,2597.573693587418,2321.7224643463683,two_level_spectral_residual,nan,nan,124.0469788562066,123.01369090618492,1268.9708076888796,12.5,0.76078125,126.79278144318867,122.88014925279212,1676.1499571636416,3.125,0.815078125
16,4e-06,80000,10,31.41592653589793,31.41631923497963,-0.00022378751972240975,-0.00016420910223874,0.3891085667304703,0.03891085667304703,0.010533807158421246,0.10263433713149438,0.03121661561153279,0.04540508143656025,0.08235461170034444,0.12970285557682343,0.15821529843251747,0.23377678137638755,40000,64000,72000,2.116494437332454,1107.4867306303786,428.07957720739176,126.11062703372053,126.11062703372053,0.0008874889063886701,0.9293873019124668,0,0,0.9293873019124668,0.8214658699261219,2628.704254123898,2323.456348552269,two_level_spectral_residual,nan,nan,127.01495286159214,126.01030455605678,1403.5709566526423,12.5,0.7603125,129.85680443111144,126.17560951075156,1861.0203416042152,3.125,0.817421875
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41631923497963,-0.00021209316612683067,-0.0001520355402350824,0.3825614450560729,0.03825614450560729,0.01021192070371992,0.10105404842815512,0.030249018544887374,0.044002028870123056,0.08032888491668269,0.12752048168535765,0.15643107330211847,0.23297947365014604,40000,64000,72000,2.0997642589129364,1188.2603632960947,428.1173587594848,129.23328268890904,129.23328268890904,0.001112486093923826,0.9303163962767294,0,0,0.9303163962767294,0.8237464728649025,2631.3321298252267,2329.9068677650916,two_level_spectral_residual,nan,nan,130.21094553661587,129.23095164529622,1442.3341491994188,12.5,0.76,132.77915953371792,129.1362994868831,1996.0310303131596,3.125,0.818203125
24,6e-06,80000,10,31.41592653589793,31.41631923497963,-0.00020598505583434773,-0.00013662452267992637,0.3763383235117301,0.037633832351173006,0.00989683616761237,0.09948284358427019,0.029324119126965992,0.04267436018177444,0.07823139511814176,0.12544610783724336,0.15450113213863012,0.23181540187195163,40000,64000,72000,2.0787517568803584,1275.200408558491,428.35604163792954,132.5058147319284,132.5058147319284,0.0012999837502031225,0.9349232251840035,0,0,0.9349232251840035,0.8268284078412974,2644.362209665626,2338.623896249031,two_level_spectral_residual,nan,nan,133.53525790867513,132.60439016151997,1858.6924583861696,12.5,0.7625,136.17571285557693,132.50840131733284,2137.814588709336,3.125,0.82015625
28,7e-06,80000,10,31.41592653589793,31.41631923497963,-0.00019860462503559702,-0.00012119375288967712,0.369611416076287,0.0369611416076287,0.00958922617842096,0.09792459434902429,0.028373003712550398,0.04134551467274837,0.07627620558980229,0.12320380535876232,0.15258123618758634,0.23122577451002127,40000,64000,72000,2.063686408811005,1372.89249244413,429.5070623859077,135.96819767472877,135.96819767472877,0.0015999800002499968,0.9378769479349671,0,0,0.9378769479349671,0.8305630134337133,2652.7165992134314,2349.186956006849,two_level_spectral_residual,nan,nan,137.03032952749683,136.11133185098416,1670.3678412752315,12.5,0.76296875,139.59875428233968,136.07129872753933,2019.5194472849043,3.125,0.8223046875
32,8e-06,80000,10,31.41592653589793,31.41631923497963,-0.00018047219169203506,-0.0001028827637167804,0.3628452630018759,0.036284526300187595,0.009289141327174911,0.09638019157054478,0.027494818685469526,0.04008713823041062,0.07429207071095195,0.1209484210006253,0.15057810030054192,0.23040433055402246,40000,64000,72000,2.047486305769075,1472.1538495983993,428.64916402973455,139.56741031821213,139.56741031821213,0.0020624742190722615,0.9517637875092134,0,0,0.9517637875092134,0.8355011674692572,2691.9945129422285,2363.154164827156,two_level_spectral_residual,nan,nan,140.65943816259232,139.7682202415723,1832.7851999359636,12.5,0.76515625,143.10695815744614,139.68937247998153,2317.58472991763,3.125,0.8234375
36,9e-06,80000,10,31.41592653589793,31.41631923497963,-0.0001596338502880465,-7.987837245216078e-05,0.35609627379975733,0.035609627379975736,0.008993111528993833,0.09483201742551844,0.02650063799938135,0.03884191954352735,0.0723137440111245,0.11869875793325245,0.14877664166019453,0.22956435611204534,40000,64000,72000,2.030735768153207,1586.0791809629782,429.24085551420023,143.42068747004632,143.42068747004632,0.002612467344158198,0.964948494135267,0,0,0.964948494135267,0.8383933833357161,2729.286494795179,2371.33458663447,two_level_spectral_residual,nan,nan,144.63759340602408,143.75189361437984,1969.4080518967994,12.5,0.7653125,147.08420122287802,143.69928718827785,2428.285952196654,3.125,0.8248046875
